mode,run_id,group,group_value,k,merge_ratio,split_ratio,success,elapsed_sec,silhouette,final_k,total_samples,out_dir,error
local,local_k10_m0p95_s0p30,K,10,10,0.95,0.3,True,41.53,0.047940,9.2957,185792,/mnt/md0/public/dicwn/lrec-workshop/0331_parameter_test_output/runs/local/local_k10_m0p95_s0p30/char_手_Local_k10_split0.3_DynamicSubK,
local,local_k15_m0p95_s0p30,K,15,15,0.95,0.3,True,42.349,0.044614,10.8325,185792,/mnt/md0/public/dicwn/lrec-workshop/0331_parameter_test_output/runs/local/local_k15_m0p95_s0p30/char_手_Local_k15_split0.3_DynamicSubK,
local,local_k20_m0p95_s0p30,K,20,20,0.95,0.3,True,43.599,0.044798,13.2261,185792,/mnt/md0/public/dicwn/lrec-workshop/0331_parameter_test_output/runs/local/local_k20_m0p95_s0p30/char_手_Local_k20_split0.3_DynamicSubK,
local,local_k25_m0p95_s0p30,K,25,25,0.95,0.3,True,46.377,0.037481,14.4270,185792,/mnt/md0/public/dicwn/lrec-workshop/0331_parameter_test_output/runs/local/local_k25_m0p95_s0p30/char_手_Local_k25_split0.3_DynamicSubK,
local,local_k30_m0p95_s0p30,K,30,30,0.95,0.3,True,48.313,0.044705,15.8702,185792,/mnt/md0/public/dicwn/lrec-workshop/0331_parameter_test_output/runs/local/local_k30_m0p95_s0p30/char_手_Local_k30_split0.3_DynamicSubK,
local,local_k20_m0p90_s0p30,merge_ratio,0.9,20,0.9,0.3,True,44.643,0.050103,5.9509,185792,/mnt/md0/public/dicwn/lrec-workshop/0331_parameter_test_output/runs/local/local_k20_m0p90_s0p30/char_手_Local_k20_split0.3_DynamicSubK,
local,local_k20_m0p92_s0p30,merge_ratio,0.92,20,0.92,0.3,True,45.04,0.047920,7.5484,185792,/mnt/md0/public/dicwn/lrec-workshop/0331_parameter_test_output/runs/local/local_k20_m0p92_s0p30/char_手_Local_k20_split0.3_DynamicSubK,
local,local_k20_m0p95_s0p30,merge_ratio,0.95,20,0.95,0.3,True,43.599,0.044798,13.2261,185792,/mnt/md0/public/dicwn/lrec-workshop/0331_parameter_test_output/runs/local/local_k20_m0p95_s0p30/char_手_Local_k20_split0.3_DynamicSubK,
local,local_k20_m0p97_s0p30,merge_ratio,0.97,20,0.97,0.3,True,40.226,0.043156,18.8948,185792,/mnt/md0/public/dicwn/lrec-workshop/0331_parameter_test_output/runs/local/local_k20_m0p97_s0p30/char_手_Local_k20_split0.3_DynamicSubK,
local,local_k20_m0p95_s0p10,split_ratio,0.1,20,0.95,0.1,True,47.785,0.041059,17.8520,185792,/mnt/md0/public/dicwn/lrec-workshop/0331_parameter_test_output/runs/local/local_k20_m0p95_s0p10/char_手_Local_k20_split0.1_DynamicSubK,
local,local_k20_m0p95_s0p30,split_ratio,0.3,20,0.95,0.3,True,43.599,0.044798,13.2261,185792,/mnt/md0/public/dicwn/lrec-workshop/0331_parameter_test_output/runs/local/local_k20_m0p95_s0p30/char_手_Local_k20_split0.3_DynamicSubK,
local,local_k20_m0p95_s0p50,split_ratio,0.5,20,0.95,0.5,True,43.772,0.044802,13.2233,185792,/mnt/md0/public/dicwn/lrec-workshop/0331_parameter_test_output/runs/local/local_k20_m0p95_s0p50/char_手_Local_k20_split0.5_DynamicSubK,
